起始节点,目标节点,关系,一级节点,二级节点,三级节点,四级节点,五级节点,问题,解答
根据模型估计其合理性，在特定显著性水平下检验参数显著性，检验总体显著性,"（1）由模型估计结果可看出：旅行社职工人数和国际游客人数均与旅游外汇收入正相关。平均来说，旅行社职工人数增加 1 人，旅游外汇收入将增加 0.1179 百万美元；国际游客人数增加 1 万人次，旅游外汇收入增加 1.5452 百万美元。
（2）取 $\alpha = 0.05$，查表得 $t_{0.025}(31-3) = 2.048$
因为 3 个参数 $t$ 统计量的绝对值均大于 $t_{0.025}(31-3) = 2.048$，说明经 $t$ 检验 3 个参数均显著不为 0，即旅行社职工人数和国际游客人数分别对旅游外汇收入都有显著影响。
取 $\alpha = 0.05$，查表得 $F_{0.05}(2,28) = 3.34$，由于 $F = 199.1894 > F_{0.05}(2,28) = 3.34$，说明旅行社职工人数和国际游客人数联合起来对旅游外汇收入有显著影响，线性回归方程显著成立。",解答为,,,,,,,
计算R^2，标准差，截距项等系数；根据计算机输出结果，写出二元回归模型的数学表达式；解释回归系数0.0483和1.0409的经济含义,"1.具体系数带入公式计算
2. 回归模型表达式：
   \hat{Y} = -1014.5675 + 0.0483 X1 + 1.0409 X2
   其中，$R^2 = 0.9910$，$DW = 1.4$，$T = 16$。
3. 回归系数的经济意义：
   若保持 $X2$ 不变，$X1$ 每增加1单位，则在校学生人数平均增加 $0.0483 \times 10000 = 483$ 人。
    若保持 $X1$ 不变，$X2$ 每增加1所，则在校学生人数平均增加 $1.0409 \times 10000 = 10400$ 人。",解答为,,,,,,,
对于多元回归模型，固定其他因素不变，每增加一个单位，对的边际效应增加（ ）个单位,beta_i,解答为,,,,,,,
以下多元回归模型中，为线性模型的是（   ）,Y = A L^{\alpha} K^{\beta},解答为,,,,,,,
以下哪一项不是多元线性回归最小二乘的估计原则（   ）,\min Y_i - \left( \hat{\beta}_1 + \hat{\beta}_2 X_{2i} + \cdots + \hat{\beta}_k X_{ki} \right),解答为,,,,,,,
对于二元样本回归模型，下列不成立的是（   ）,\sum e_i Y_i = 0,解答为,,,,,,,
"对多元线性回归模型，若\(u_i\)服从正态分布，也即\(u_i \sim N(0, \sigma^2)\)，则\(\hat{\beta}\)服从（   ）","N \left( \beta_1 + \beta_2 X_{2i} + \beta_3 X_{3i}, \ \sigma^2 \right)",解答为,,,,,,,
对样本量为104的多元线性回归模型，\(df_{residual}\)等于（   ）,101sigma^2,解答为,,,,,,,
以下陈述正确的是（   ）,增加一个解释变量会使R^2增加,解答为,,,,,,,
对于多元线性回归模型 $ Y_i = \beta_1 + \beta_2 X_{2i} + \beta_3 X_{3i} + u_i $，若 $\sum X_2 = 80$，$\sum X_3 = 45$，$\Y = 36$，$\hat{\beta}_1 = -1.75$，$\hat{\beta}_3 = 2.7$，$n = 10$，则 $\hat{\beta}_2$ 等于（  ）,3.2,解答为,,,,,,,
对多元线性回归模型，若满足零均值假定，以下说法正确的是（   ）,随机扰动项的期望为0,解答为,,,,,,,
以下关于样本数量和解释变量个数的陈述错误的是（   ）,满足基本假设条件下，样本容量略大于解释变量个数时，不能得到参数的唯一确定估计值,解答为,,,,,,,
当RSS变小时，\(R^2\)变大，因而\(R^2\)越大则代表拟合程度更高,正确,解答为,,,,,,,
当RSS变小时，修正可决系数也会随之而变大,错误,解答为,,,,,,,
\(R^2\)与修正可决系数同增同减，但\(\bar{R}^2 \leq R^2\),正确,解答为,,,,,,,
\(R^2\)越大，也代表着解释变量联合起来对被解释变量的解释程度越高,正确,解答为,,,,,,,
\(R^2\)与F统计量同增同减，但仅能做描述性判断而F检验可以做显著性判断,正确,解答为,,,,,,,
下列使用矩阵表示的多元回归模型样本回归函数有(),"Y = X\hat{\beta} + e,\hat{Y} = X\hat{\beta}",解答为,,,,,,,
用一组有30个观测值的样本估计模型后，在0.05的显著性水平上做t检验和F检验，以下说法正确的有（   ）," b_1 显著地不等于零的条件是其统计量 t 大于等于 t_{0.025}(27)，所有解释变量联合起来对 y 的影响显著的条件是其统计量 F 大于等于 F_{0.05}(2, 27)",解答为,,,,,,,
满足基本假设条件下，样本容量略大于解释变量个数时，可以得到各参数的唯一确定的估计值，但参数估计结果的可靠性得不到保证？,正确,解答为,,,,,,,
R^2与F统计量同增同减，因此都能做显著性判断,错误，R^2 与F统计量同增同减，但R^2 仅能做描述性判断而F检验可以做显著性判断,解答为,,,,,,,
请陈述多元回归的基本假定。,"假定1：零均值假定
假定2和3：同方差和无自相关假定（球形扰动假定）
假定4：随机扰动项与解释变量不相关
假定5：无（完全）多重共线性假定
假定6：正态性假定",解答为,,,,,,,
对于多元线性回归模型，为什么在进行了总体显著性F检验之后，还要对每个回归系数进行是否为0的t检验？,多元线性回归模型的总体显著性F检验是检验模型中全部解释变量对被解释变量的共同影响是否显著。通过了此F检验，就可以说模型中的全部解释变量对被解释变量的共同影响是显著的，但却不能就此判定模型中的每一个解释变量对被解释变量的影响都是显著的。因此还需要就每个解释变量对被解释变量的影响是否显著进行检验，即进行t检验。,解答为,,,,,,,
下表给出一元模型的回归结果。方差来源平方和（SS）自由度（d.f.）来自回归(ESS)为75965，来自残差(RSS)为空，来自总离差(TSS)为86042求：（1）样本容量是多少？RSS是多少？ESS和RSS的自由度各是多少？（2）\(R^2\)和\(\bar{R}^2\)是多少？（3）检验假设：解释变量总体上对被解释变量无影响。你用什么假设检验？为什么？（4）根据以上信息，你能确定解释变量各自对被解释变量的贡献吗？（5）解释为什么对多元线性回归进行拟合优度检验时要使用修正可决系数而非多重可决系数？ 修正可决系数和多重可决系数的关系是什么？,"（1）样本容量为 n=20+1=21
RSS=TSS-ESS=86042-75965=9077
ESS的自由度为: df= 2
RSS的自由度为: df=n-2-1=18
（2）R2=ESS/TSS=75965/86042=0.8829
=1-(1- R2)(n-1)/(n-k)=1-0.1171*20/17=0.8699
（3）应该采用方程显著性检验，即F检验，理由是只有这样才能判断X1、X2一起是否对Y有影响。
（4）不能。因为通过上述信息，仅可初步判断X1、X2联合起来对Y有线性影响，两者的变化解释了Y变化的86.99%。但由于无法知道X1，X2前参数的具体估计值，因此还无法判断它们各自对Y的影响有多大。
（5）多重可决系数是模型中解释变量个数的不减函数，这给对比不同模型的多重可决系数带来缺陷。而修正可决系数 不再是解释变量个数的不减函数，要视正面影响（对拟合优度贡献）和负面影响（自由度损失）的相对大小。修正可决系数与多重可决系数同增同减，所以同样地，修正可决系数越高代表拟合程度越高，所有解释变量联合起来的整体解释程度越高。修正可决系数 \bar{R}^2≤多重可决系数R2，当\bar{R}^2为负时，强制其为0，所以修正可决系数\bar{R}^2的取值范围也在0与1之间。",解答为,,,,,,,
多元线性回归模型,多元线性回归模型的总体回归函数形式是什么？,例题如,,,,,,,
多元线性回归模型,参数\(\beta_1\)在模型中的经济意义是什么？,例题如,,,,,,,
拟合优度检验,修正可决系数\(R^2\)高的意义是什么？,例题如,,,,,,,
OLS估计的分布性质,多元回归中的方差-协方差矩阵如何表示？,例题如,,,,,,,
拟合优度检验,总变差TSS的自由度如何计算？,例题如,,,,,,,
多元线性回归模型,在C-D生产函数Y = A L^{\alpha} K^{\beta}中，哪些参数代表弹性？,例题如,,,,,,,
回归参数的显著性检验（t-检验）,"Y_i = \beta_0 + \beta_1 X_{1i} + \beta_2 X_{2i} + \beta_3 X_{3i} + u_i,C_{ij} 是矩阵 (X'X)^{-1} 中第 i 行第 j 列的元素,如何计算检验\(\beta_1 = 1\)的t统计量？",例题如,,,,,,,
多元线性回归模型的古典假定,在无异方差性和无序列自相关性时，协方差矩阵的形式是什么？,例题如,,,,,,,
拟合优度检验,修正后的可决系数与多重可决系数之间的数学关系是什么？,例题如,,,,,,,
多元线性回归模型的古典假定,关于多元线性回归模型的正确表述是什么？,例题如,,,,,,,
多元线性回归模型的古典假定,多元回归中满足有效性需要哪些基本假定？,例题如,,,,,,,
多元线性回归模型,多元回归模型的矩阵表示形式是什么？,例题如,,,,,,,
回归方程的显著性检验（F-检验）,F检验的正确说法有哪些？,例题如,,,,,,,
多元线性回归模型,关于多元线性回归模型的正确陈述有哪些？,例题如,,,,,,,
回归方程的显著性检验（F-检验）,在多元回归模型中，\(F = t^2\)?,例题如,,,,,,,
多元线性回归模型的古典假定,当存在非完全共线性时，多元回归的基本假定将不满足，无法使用OLS估计?,例题如,,,,,,,
拟合优度检验,如何计算修正的可决系数？,例题如,,,,,,,
多元线性回归模型参数的最小二乘估计,进行单个显著性检验，以及联合显著性检验，考虑多重共线性问题，解释截距项的经济含义，以及加入新的变量后对 OLS 估计量和标准差的影响,例题如,,,,,,,
回归方程的显著性检验（F-检验）,根据模型估计其合理性，在特定显著性水平下检验参数显著性，检验总体显著性,例题如,,,,,,,
多元线性回归模型,计算R^2，标准差，截距项等系数；根据计算机输出结果，写出二元回归模型的数学表达式；解释回归系数0.0483和1.0409的经济含义,例题如,,,,,,,
多元线性回归模型,对于多元回归模型，固定其他因素不变，每增加一个单位，对的边际效应增加（ ）个单位,例题如,,,,,,,
多元线性回归模型,以下多元回归模型中，为线性模型的是（   ）,例题如,,,,,,,
多元线性回归模型参数的最小二乘估计,以下哪一项不是多元线性回归最小二乘的估计原则（   ）,例题如,,,,,,,
多元线性回归模型,对于二元样本回归模型，下列不成立的是（   ）,例题如,,,,,,,
OLS估计的分布性质,"对多元线性回归模型，若\(u_i\)服从正态分布，也即\(u_i \sim N(0, \sigma^2)\)，则\(\hat{\beta}\)服从（   ）",例题如,,,,,,,
随机扰动项方差的估计,对样本量为104的多元线性回归模型，\(df_{residual}\)等于（   ）,例题如,,,,,,,
拟合优度检验,以下陈述正确的是（   ）,例题如,,,,,,,
多元线性回归模型参数的最小二乘估计,对于多元线性回归模型 $ Y_i = \beta_1 + \beta_2 X_{2i} + \beta_3 X_{3i} + u_i $，若 $\sum X_2 = 80$，$\sum X_3 = 45$，$\Y = 36$，$\hat{\beta}_1 = -1.75$，$\hat{\beta}_3 = 2.7$，$n = 10$，则 $\hat{\beta}_2$ 等于（  ）,例题如,,,,,,,
多元线性回归模型的古典假定,对多元线性回归模型，若满足零均值假定，以下说法正确的是（   ）,例题如,,,,,,,
多元线性回归模型的古典假定,以下关于样本数量和解释变量个数的陈述错误的是（   ）,例题如,,,,,,,
拟合优度检验,当RSS变小时，\(R^2\)变大，因而\(R^2\)越大则代表拟合程度更高,例题如,,,,,,,
拟合优度检验,当RSS变小时，修正可决系数也会随之而变大,例题如,,,,,,,
拟合优度检验,\(R^2\)与修正可决系数同增同减，但\(\bar{R}^2 \leq R^2\),例题如,,,,,,,
拟合优度检验,\(R^2\)越大，也代表着解释变量联合起来对被解释变量的解释程度越高,例题如,,,,,,,
回归方程的显著性检验（F-检验）,\(R^2\)与F统计量同增同减，但仅能做描述性判断而F检验可以做显著性判断,例题如,,,,,,,
多元线性回归模型,下列使用矩阵表示的多元回归模型样本回归函数有(),例题如,,,,,,,
回归参数的显著性检验（t-检验）,用一组有30个观测值的样本估计模型后，在0.05的显著性水平上做t检验和F检验，以下说法正确的有（   ）,例题如,,,,,,,
参数最小二乘估计的性质,满足基本假设条件下，样本容量略大于解释变量个数时，可以得到各参数的唯一确定的估计值，但参数估计结果的可靠性得不到保证？,例题如,,,,,,,
回归方程的显著性检验（F-检验）,R^2与F统计量同增同减，因此都能做显著性判断,例题如,,,,,,,
多元线性回归模型的古典假定,请陈述多元回归的基本假定。,例题如,,,,,,,
回归方程的显著性检验（F-检验）,对于多元线性回归模型，为什么在进行了总体显著性F检验之后，还要对每个回归系数进行是否为0的t检验？,例题如,,,,,,,
拟合优度检验,下表给出一元模型的回归结果。方差来源平方和（SS）自由度（d.f.）来自回归(ESS)为75965，来自残差(RSS)为空，来自总离差(TSS)为86042求：（1）样本容量是多少？RSS是多少？ESS和RSS的自由度各是多少？（2）\(R^2\)和\(\bar{R}^2\)是多少？（3）检验假设：解释变量总体上对被解释变量无影响。你用什么假设检验？为什么？（4）根据以上信息，你能确定解释变量各自对被解释变量的贡献吗？（5）解释为什么对多元线性回归进行拟合优度检验时要使用修正可决系数而非多重可决系数？ 修正可决系数和多重可决系数的关系是什么？,例题如,,,,,,,
